,mostRelevantField,mostRelevantUni
2644,Finance,Other
2645,Marketing,Other
2646,Marketing,Other
2647,Data Science,Other
2648,Business,Other
2649,Business,Other
2650,Business,Other
2651,Business,Other
2652,Policital Sci,Other
2653,Other,Other
2654,Other,Other
2655,Other,Other
2656,Other,Other
2657,Business,Other
2658,CS,Other
2659,Chemistry,Other
2660,Other,Other
2661,Other,Other
2662,Other,Other
2663,Biology,Other
2664,Mechanical Eng,Other
2665,Other,Other
2666,Finance,Other
2667,AI,Other
2668,Other,Other
2669,Other,Other
2670,Business,Other
2671,Business,Other
2672,Mechanical Eng,Other
2673,Industrial Eng,Other
2674,Other,Other
2675,Business,Other
2676,Other,Other
2677,Business,Tufts
2678,Business,Tufts
2679,Biology,Other
2680,Other,Other
2681,Other,Other
2682,Aero,Other
2683,Other,Other
2684,Other,Other
2685,Biology,Other
2686,Business,Other
2687,Aero,Other
2688,Law,NYU
2689,Finance,Other
2690,Other,Other
2691,Other,Other
2692,Business,Other
2693,Other,Other
2694,Other,Other
2695,Policital Sci,Other
2696,Other,Other
2697,Business,Other
2698,Business,Other
2699,Other,Dartmouth
2700,Business,Dartmouth
2701,Business,Dartmouth
2702,Business,Dartmouth
2703,Chemistry,Tufts
2704,Biology,Tufts
2705,Biology,Tufts
2706,Finance,Tufts
2707,Other,Tufts
2708,Law,Tufts
2709,Law,Tufts
2710,Business,Tufts
2711,Biology,Tufts
2712,Other,Tufts
2713,Mechanical Eng,Tufts
2714,Policital Sci,Tufts
2715,Finance,Tufts
2716,Biology,Tufts
2717,Finance,Tufts
2718,Biology,Tufts
2719,Biology,Tufts
2720,Biology,Tufts
2721,Biology,Tufts
2722,Chemistry,Tufts
2723,Chemistry,Tufts
2724,Chemistry,Tufts
2725,Other,Tufts
2726,Other,Tufts
2727,Other,Tufts
2728,CS,Tufts
2729,Finance,Tufts
2730,Electrical Eng,Tufts
2731,Other,Tufts
2732,Other,Tufts
2733,Other,Tufts
2734,Other,Tufts
2735,Business,Tufts
2736,Business,Tufts
2737,Other,Tufts
2738,Other,Tufts
2739,Other,Tufts
2740,Other,Tufts
2741,Other,Tufts
2742,Biology,Tufts
2743,Business,Tufts
2744,Other,Tufts
2745,Physics,Tufts
2746,Finance,Tufts
2747,Other,Tufts
2748,Other,Tufts
2749,Other,Tufts
2750,Law,Tufts
2751,Biology,Tufts
2752,Business,Tufts
2753,Law,Tufts
2754,Data Science,Tufts
2755,Physics,Other
2756,Business,Other
2757,Biology,Other
2758,Business,Other
2759,Business,Other
2760,Other,Other
2761,Electrical Eng,Other
2762,Other,Other
2763,Business,Other
2764,Biology,MIT
2765,CS,Other
2766,Biology,Other
2767,Other,Other
2768,Data Science,Other
2769,Physics,Other
2770,Other,Other
2771,CS,Other
2772,Data Science,Other
2773,Biology,Other
2774,Business,Other
2775,Other,Other
2776,CS,Other
2777,Other,Other
2778,Biology,Other
2779,Other,Other
2780,Aero,Other
2781,Other,Other
2782,CS,Other
2783,Other,Other
2784,Mechanical Eng,Other
2785,Other,Other
2786,Biology,Other
2787,Other,Other
2788,Other,Other
2789,Chemistry,Other
2790,Other,Other
2791,Biology,Other
2792,Other,Other
2793,Other,Other
2794,Chemistry,Other
2795,Other,Other
2796,Finance,Other
2797,Biology,Other
2798,Civil Eng,Other
2799,CS,Other
2800,CS,Other
2801,Industrial Eng,Other
2802,Industrial Eng,Other
2803,Policital Sci,Other
2804,Mechanical Eng,Other
2805,CS,Other
2806,Other,Other
2807,Other,Other
2808,Biology,Other
2809,Business,Other
2810,Mechanical Eng,Other
2811,Mechanical Eng,Other
2812,Chemistry,Other
2813,Materials,Other
2814,Mechanical Eng,Other
2815,Business,Other
2816,Other,Other
2817,Other,Other
2818,Other,Other
2819,Biology,Other
2820,CS,Other
2821,Other,Other
2822,Aero,Other
2823,Other,Other
2824,CS,Other
2825,CS,Other
2826,Other,Other
2827,Business,Other
2828,Electrical Eng,Other
2829,Other,Other
2830,Physics,Other
2831,Industrial Eng,Other
2832,Business,Other
2833,Other,Other
2834,Other,Other
2835,Business,Other
2836,Physics,Other
2837,Other,Other
2838,Other,Other
2839,CS,Other
2840,Other,Other
2841,Business,Other
2842,Other,Other
2843,Other,Other
2844,Physics,Other
2845,Other,Other
2846,Law,Other
2847,Other,Other
2848,Electrical Eng,Other
2849,Electrical Eng,Other
2850,CS,Other
2851,Data Science,Other
2852,Other,Other
2853,CS,Other
2854,Mechanical Eng,Other
2855,Data Science,Other
2856,Other,Other
2857,Mechanical Eng,Other
2858,Biology,Other
2859,Biology,Other
2860,Business,Other
2861,Biology,Other
2862,Data Science,Other
2863,Other,Other
2864,Other,Other
2865,Biology,Other
2866,Other,Other
2867,Finance,Other
2868,CS,Other
2869,Other,Other
2870,Mechanical Eng,Other
2871,Aero,Other
2872,Other,Other
2873,Other,Other
2874,Mechanical Eng,UConn
2875,Finance,Other
2876,Business,Other
2877,AI,Other
2878,CS,Other
2879,Industrial Eng,Other
2880,Industrial Eng,Other
2881,Policital Sci,Other
2882,Mechanical Eng,Other
2883,Biology,Other
2884,Other,Other
2885,Other,Other
2886,Other,Other
2887,Biology,Other
2888,Other,Other
2889,Finance,Other
2890,Biology,Other
2891,Data Science,Other
2892,Biology,Other
2893,Chemistry,Other
2894,CS,Other
2895,Business,Other
2896,Materials,Other
2897,Other,Other
2898,Aero,Other
2899,Aero,Other
2900,Business,Other
2901,Business,Other
2902,Business,Other
2903,Other,Other
2904,Other,Other
2905,Mechanical Eng,Other
2906,Other,Other
2907,Other,Other
2908,Other,Other
2909,Other,Other
2910,Other,Other
2911,CS,Other
2912,Other,Other
2913,Policital Sci,Other
2914,Other,Other
2915,Aero,Other
2916,Aero,Other
2917,Business,Other
2918,Marketing,Other
2919,Business,Other
2920,Mechanical Eng,Other
2921,Mechanical Eng,Other
2922,Aero,Other
2923,Aero,Other
2924,Data Science,Other
2925,Other,Other
2926,Biology,Other
2927,Electrical Eng,Other
2928,Other,Other
2929,Other,Other
2930,Mechanical Eng,Other
2931,Business,Other
2932,Finance,Other
2933,Other,UMass Amherst
2934,Chemistry,UMass Amherst
2935,Chemistry,UMass Amherst
2936,Chemistry,UMass Amherst
2937,Other,UMass Amherst
2938,Finance,UMass Amherst
2939,CS,UMass Amherst
2940,CS,UMass Amherst
2941,CS,UMass Amherst
2942,Policital Sci,UMass Amherst
2943,Other,UMass Amherst
2944,Other,UMass Amherst
2945,Mechanical Eng,UMass Amherst
2946,Mechanical Eng,UMass Amherst
2947,Mechanical Eng,UMass Amherst
2948,Policital Sci,UMass Amherst
2949,CS,Other
2950,Business,UMass Boston
2951,Other,UMass Boston
2952,CS,UMass Boston
2953,Other,UMass Boston
2954,Electrical Eng,Dartmouth
2955,Electrical Eng,Other
2956,Electrical Eng,Other
2957,Business,Other
2958,Other,Other
2959,Mechanical Eng,Other
2960,Mechanical Eng,Other
2961,Electrical Eng,Other
2962,Mechanical Eng,Other
2963,Aero,Other
2964,Other,Other
2965,Electrical Eng,Other
2966,Other,Other
2967,Biology,Other
2968,Aero,Other
2969,Physics,Other
2970,Electrical Eng,Other
2971,CS,Other
2972,Business,Other
2973,Data Science,Other
2974,Marketing,Other
2975,Finance,Other
2976,Electrical Eng,Other
2977,Physics,Other
2978,CS,Other
2979,Biology,Other
2980,CS,Other
2981,Business,Other
2982,Materials,Other
2983,Mechanical Eng,Other
2984,Chemistry,Other
2985,Business,Other
2986,Business,Other
2987,Data Science,Other
2988,Other,Other
2989,Other,Other
2990,Business,Other
2991,AI,Other
2992,Other,Other
2993,CS,Other
2994,Finance,Other
2995,Biology,Other
2996,Other,Other
2997,Finance,Other
2998,Other,Other
2999,Finance,Other
3000,CS,Other
3001,Chemistry,Other
3002,Materials,Other
3003,Other,Other
3004,Policital Sci,Other
3005,Biology,Other
3006,Biology,Other
3007,Biology,Other
3008,Biology,Other
3009,Civil Eng,Other
3010,Other,Other
3011,Aero,Other
3012,Business,Other
3013,Business,Other
3014,Business,Other
3015,Business,Other
3016,Business,Other
3017,Data Science,Other
3018,Business,Other
3019,Business,Other
3020,Business,Other
3021,Business,Other
3022,Other,Other
3023,CS,Other
3024,Mechanical Eng,Other
3025,Other,Other
3026,Other,Other
3027,Other,Other
3028,Materials,Other
3029,CS,Other
3030,Electrical Eng,Other
3031,Other,Other
3032,Mechanical Eng,Other
3033,Other,Other
3034,Law,Other
3035,Business,Other
3036,Business,Other
3037,AI,Other
3038,Other,Other
3039,Policital Sci,Other
3040,Mechanical Eng,Other
3041,Aero,Other
3042,Electrical Eng,Other
3043,Other,Other
3044,Mechanical Eng,Other
3045,Mechanical Eng,Other
3046,Business,Other
3047,Mechanical Eng,Other
3048,Other,Other
3049,Business,Other
3050,Marketing,Other
3051,CS,Other
3052,Electrical Eng,Other
3053,Mechanical Eng,Other
3054,Other,Other
3055,Biology,Other
3056,Biology,Other
3057,Other,Other
3058,Biology,Other
3059,Business,Other
3060,Policital Sci,Other
3061,CS,Other
3062,Data Science,Other
3063,Other,Other
3064,Other,Other
3065,Biology,Other
3066,Data Science,Other
3067,Finance,Other
3068,CS,Other
3069,Other,Other
3070,Business,Other
3071,Other,Other
3072,Other,Other
3073,Other,Other
3074,Other,Other
3075,Other,Other
3076,Other,Other
3077,Finance,Other
3078,Other,Other
3079,Other,Other
3080,Civil Eng,Other
3081,Biology,Other
3082,CS,Other
3083,Other,Other
3084,Civil Eng,Other
3085,Electrical Eng,Other
3086,Finance,Other
3087,Finance,Other
3088,Other,Other
3089,Civil Eng,Other
3090,Other,Other
3091,Biology,Other
3092,Biology,Other
3093,Biology,Other
3094,Other,Other
3095,CS,Other
3096,Other,Other
3097,Other,Other
3098,Finance,Other
3099,Other,Other
3100,Business,Other
3101,Data Science,Other
3102,Other,Other
3103,Physics,Other
3104,Data Science,Other
3105,Other,Other
3106,Biology,Other
3107,Biology,Other
3108,Policital Sci,Other
3109,Civil Eng,Other
3110,Aero,Other
3111,Aero,Other
3112,Biology,Other
3113,CS,Other
3114,Electrical Eng,Other
3115,Business,Other
3116,Business,Other
3117,Other,Other
3118,Business,Other
3119,Other,Other
3120,CS,Other
3121,Biology,Other
3122,Other,Other
3123,Biology,Other
3124,Data Science,Other
3125,Biology,Other
3126,CS,Other
3127,Business,Other
3128,Other,Wellesley
3129,Other,Wellesley
3130,Other,Wellesley
3131,CS,Wellesley
3132,Finance,Wellesley
3133,Finance,Wellesley
3134,Policital Sci,Wellesley
3135,Biology,Wellesley
3136,Other,Wellesley
3137,CS,Wellesley
3138,Finance,Wellesley
3139,Finance,Wellesley
3140,Finance,Wellesley
3141,Finance,Wellesley
3142,Finance,Wellesley
3143,Other,Wellesley
3144,Other,Wellesley
3145,Data Science,Wellesley
3146,Other,Wellesley
3147,CS,Wellesley
3148,CS,Wellesley
3149,Physics,Wellesley
3150,Finance,MIT
3151,Other,Wellesley
3152,Mechanical Eng,Other
3153,Mechanical Eng,Other
3154,Mechanical Eng,Other
3155,Electrical Eng,Other
3156,Industrial Eng,Other
3157,CS,Other
3158,Finance,Other
3159,Other,Other
3160,Other,Other
3161,Other,Other
3162,Other,Other
3163,Other,Other
3164,Biology,Other
3165,CS,Other
3166,CS,Other
3167,Finance,Other
3168,Finance,Other
3169,CS,Other
3170,Physics,Other
3171,Other,Other
3172,Finance,Other
3173,Finance,Other
3174,Policital Sci,Other
3175,Other,Other
3176,Biology,WPI
3177,CS,WPI
3178,Other,WPI
3179,Mechanical Eng,WPI
3180,Mechanical Eng,WPI
3181,CS,WPI
3182,CS,WPI
3183,CS,WPI
3184,Data Science,WPI
3185,Aero,WPI
3186,Other,WPI
3187,Data Science,Other
3188,Biology,Other
3189,Biology,Other
3190,Other,Other
3191,Physics,Other
3192,CS,Other
3193,CS,Other
3194,CS,Other
3195,CS,Other
3196,Physics,Other
3197,Finance,Other
3198,Biology,Other
3199,Biology,Other
3200,CS,Other
3201,Finance,Other
3202,Electrical Eng,Other
3203,Electrical Eng,Other
3204,Mechanical Eng,Other
3205,CS,Other
3206,Business,Other
3207,Mechanical Eng,Other
3208,Mechanical Eng,Other
3209,Mechanical Eng,Other
3210,Mechanical Eng,Other
3211,Mechanical Eng,Other
3212,Physics,Other
3213,Biology,Other
3214,Other,Other
3215,Other,Other
