,User ID,mostRelevantField,mostRelevantUni,highestDegree
527,149925,Other,Other,Masters
528,149926,Other,Other,MBA
529,149939,Other,MIT,MBA
530,149941,Other,Other,MBA
531,149944,Other,Other,Other
532,149947,Mechanical Eng,Other,Bachelors
533,149948,Materials,UMass Amherst,PhD
534,149951,Other,Other,Masters
535,149952,Business,MIT,Masters
536,149954,Finance,Other,Other
537,149956,Biology,Harvard,PhD
538,149958,Other,Other,Masters
539,149964,Business,Other,Bachelors
540,149967,Finance,Other,Masters
541,149968,Electrical Eng,Other,Masters
542,149973,Physics,Other,Bachelors
543,149974,Finance,Other,Masters
544,149977,Business,Other,Masters
545,149990,Other,MIT,MBA
546,149992,Business,Other,Masters
547,149995,Other,MIT,MBA
548,149996,Finance,Other,Masters
549,149997,Business,Other,Masters
550,149998,Biology,Harvard,Bachelors
551,149999,Other,Other,MBA
552,150002,Other,Other,Bachelors
553,150004,Mechanical Eng,BU,Bachelors
554,150005,Business,Other,Masters
555,150009,Business,Other,Masters
556,150016,Other,Harvard,Bachelors
557,150017,Business,Other,Masters
558,150130,Business,Other,Other
559,150160,CS,Northeastern,Masters
560,150161,Other,MIT,Masters
561,150169,Finance,MIT,PhD
562,150172,Other,Other,Masters
563,150177,Business,Other,Masters
564,150179,Other,MIT,Masters
565,150206,Data Science,Hult Business,Masters
566,150212,Electrical Eng,MIT,Bachelors
567,150213,Business,Other,Masters
568,150242,Electrical Eng,MIT,Bachelors
569,150243,Other,MIT,Masters
570,150247,Business,Other,MBA
571,150256,CS,MIT,PhD
572,150259,Business,Northeastern,Masters
573,150271,Other,Other,Masters
574,150276,Electrical Eng,MIT,PhD
575,150293,Business,Hult Business,Bachelors
576,150294,Other,Harvard,PhD
577,150298,Business,BU,Bachelors
578,150302,Business,Other,Other
579,150305,Biology,Other,Masters
580,150307,Materials,MIT,Masters
581,150314,Other,MIT,Masters
582,150315,Business,Other,Masters
583,150317,Other,Other,MBA
584,150325,Business,Other,Masters
585,150326,Other,Other,Other
586,150335,Other,MIT,Bachelors
587,150337,Business,Tufts,Masters
588,150341,Other,Hult Business,MBA
589,150344,Business,Other,Masters
590,150366,Business,MIT,Masters
591,150369,Business,MIT,Masters
592,150370,Business,MIT,Masters
593,150371,Other,Other,Bachelors
594,150375,Biology,Other,Other
595,150376,Other,MIT,PhD
596,150387,Finance,Other,Other
597,150388,Other,Harvard,Masters
598,150389,Business,MIT,Masters
599,150395,Business,MIT,Masters
600,150396,Other,Northeastern,Masters
601,150397,Business,Other,Masters
602,150398,Business,MIT,Masters
603,150399,Other,Harvard,Masters
604,150400,Other,MIT,MBA
605,150401,CS,Other,Masters
606,150402,Other,MIT,Masters
607,150403,Biology,MIT,Bachelors
608,150416,CS,Other,Other
609,150420,CS,Other,Masters
610,150493,Marketing,Other,Masters
611,150617,Physics,Other,PhD
612,150648,Finance,Other,Bachelors
613,150673,Other,Other,MBA
614,150735,Biology,MIT,Bachelors
615,150785,Other,Other,Masters
616,150827,Other,Other,Masters
617,150842,Other,Other,MBA
618,150887,Other,Other,MBA
619,150938,Other,MIT,Masters
620,150941,Biology,MIT,Bachelors
621,150947,Other,Other,Other
622,150950,Other,Other,Other
623,150964,Physics,Other,Other
624,150970,CS,Other,Other
625,150971,Physics,MIT,PhD
626,150980,Other,Other,Masters
627,150981,Other,Other,Bachelors
628,150984,Business,Other,Other
629,150997,Biology,MIT,Bachelors
630,151000,Other,Other,Bachelors
631,151008,Electrical Eng,Other,Masters
632,151011,Other,Other,Bachelors
633,151012,Business,Other,Bachelors
634,151015,Other,Other,Bachelors
635,151016,CS,Harvard,Masters
636,151017,Mechanical Eng,UMass Amherst,PhD
637,151019,Business,NYU,Masters
638,151021,Mechanical Eng,MIT,Masters
639,151025,Other,Other,Masters
640,151029,Other,Other,MBA
641,151033,Finance,Other,Bachelors
642,151039,Finance,Other,Bachelors
643,151044,CS,Other,Bachelors
644,151051,Other,Other,Bachelors
645,151053,Finance,MIT,Bachelors
646,151057,Other,Other,Bachelors
647,151059,Other,Other,Bachelors
648,151060,Finance,Other,Other
649,151062,Business,Other,Masters
650,151063,Physics,Other,Bachelors
651,151066,Mechanical Eng,MIT,Masters
652,151067,Other,Other,Masters
653,151071,Biology,Other,Masters
654,151073,Other,MIT,MBA
655,151074,Other,Other,Other
656,151075,Finance,Other,Bachelors
657,151081,Mechanical Eng,Other,Bachelors
658,151084,Materials,Other,Bachelors
659,151125,Business,Other,Masters
