,mostRelevantField,mostRelevantUni,highestDegree
2700,Other,Other,Bachelors
2701,Other,Other,Postdoc
2702,AI,MIT,Bachelors
2703,Other,Other,Masters
2704,Business,Other,Masters
2705,Data Science,MIT,Masters
2706,CS,MIT,Bachelors
2707,Civil Eng,MIT,PhD
2708,Other,MIT,Masters
2709,CS,MIT,Bachelors
2710,Mechanical Eng,MIT,PhD
2711,Data Science,MIT,Bachelors
2712,CS,MIT,Bachelors
2713,Other,Other,Other
2714,Business,MIT,MBA
2715,Civil Eng,MIT,PhD
2716,Business,MIT,Masters
2717,Business,MIT,MBA
2718,CS,MIT,Bachelors
2719,Other,MIT,Bachelors
2720,CS,MIT,Bachelors
2721,Biology,Other,Bachelors
2722,CS,Other,Bachelors
2723,Industrial Eng,Other,Other
2724,Other,MIT,Postdoc
2725,Electrical Eng,MIT,Bachelors
2726,Aero,MIT,Bachelors
2727,Data Science,MIT,Masters
2728,CS,Other,Masters
2729,CS,Other,Bachelors
2730,Industrial Eng,Other,Bachelors
2731,Data Science,MIT,PhD
2732,Other,Other,Bachelors
2733,CS,MIT,Bachelors
2734,Other,Other,Masters
2735,Mechanical Eng,MIT,Bachelors
2736,Business,MIT,Masters
2737,CS,Northeastern,Masters
2738,CS,Northeastern,Masters
2739,Data Science,Northeastern,Masters
2740,CS,Northeastern,Masters
2741,CS,MIT,Bachelors
2742,Mechanical Eng,MIT,Bachelors
2743,Biology,MIT,PhD
2744,Mechanical Eng,MIT,Bachelors
2745,Aero,MIT,Bachelors
2746,Aero,MIT,Bachelors
2747,Other,MIT,Bachelors
2748,Mechanical Eng,MIT,Bachelors
2749,Business,Other,Masters
2750,Data Science,Other,Masters
2751,Other,Other,Masters
2752,AI,Tufts,PhD
2753,Business,BU,MBA
2754,Mechanical Eng,MIT,Bachelors
2755,Finance,Other,Bachelors
2756,Aero,MIT,Masters
2757,Materials,MIT,Bachelors
2758,Law,Other,Other
2759,Other,Other,Masters
2760,CS,Northeastern,Masters
2761,Biology,Other,PhD
2762,Other,Other,Bachelors
2763,Other,Other,Postdoc
2764,Other,MIT,Bachelors
2765,Other,Northeastern,Masters
2766,Biology,Other,PhD
2767,CS,Other,Masters
2768,Other,Tufts,Other
2769,Business,MIT,MBA
2770,Business,MIT,MBA
2771,Data Science,Hult Business,Masters
2772,AI,MIT,Bachelors
2773,Biology,MIT,Postdoc
2774,Physics,MIT,Postdoc
2775,Other,Other,Masters
2776,Other,MIT,Postdoc
2777,Data Science,Northeastern,Masters
2778,Data Science,Northeastern,Masters
2779,AI,MIT,Postdoc
2780,Other,Other,Masters
2781,Business,Other,MBA
2782,Business,MIT,MBA
2783,Business,MIT,MBA
2784,Other,Other,Masters
2785,Law,Other,Masters
2786,Other,Tufts,Masters
2787,Business,MIT,Masters
2788,Business,MIT,Masters
2789,Materials,MIT,PhD
2790,Business,MIT,Masters
2791,Biology,Other,Masters
2792,CS,Other,PhD
2793,Data Science,Northeastern,Masters
2794,Law,Other,PhD
2795,Other,Other,Masters
2796,Policital Sci,Other,Bachelors
2797,Other,Other,Postdoc
2798,Other,WPI,Masters
2799,Biology,Other,Postdoc
2800,CS,MIT,Bachelors
2801,Aero,MIT,Bachelors
2802,Other,MIT,Postdoc
2803,CS,MIT,Bachelors
2804,Biology,Other,Masters
2805,Other,Tufts,Masters
2806,Industrial Eng,MIT,Masters
2807,Other,MIT,Masters
2808,Data Science,Northeastern,Masters
2809,Data Science,MIT,Bachelors
2810,Mechanical Eng,MIT,Masters
2811,Data Science,MIT,Bachelors
2812,Business,MIT,Masters
2813,Biology,MIT,PhD
2814,Law,Other,Masters
2815,Law,Other,Masters
2816,Law,Other,Masters
2817,Business,MIT,Masters
2818,Chemistry,MIT,Other
2819,Other,MIT,Masters
2820,Law,Other,Masters
2821,Business,MIT,Masters
2822,AI,MIT,Bachelors
2823,CS,Northeastern,Masters
2824,Physics,MIT,PhD
2825,Business,MIT,Masters
2826,Business,MIT,Masters
2827,Business,MIT,MBA
2828,Business,MIT,Masters
2829,Business,MIT,Masters
2830,Business,MIT,Masters
2831,Biology,MIT,Masters
2832,AI,MIT,PhD
2833,Other,Other,Bachelors
2834,CS,MIT,Masters
2835,Mechanical Eng,MIT,Masters
2836,CS,MIT,Bachelors
2837,Other,Other,Masters
2838,Finance,MIT,MBA
2839,Business,MIT,Masters
2840,Aero,MIT,PhD
2841,Other,MIT,PhD
2842,AI,MIT,PhD
2843,Other,MIT,Postdoc
2844,Industrial Eng,MIT,Masters
2845,Other,MIT,PhD
2846,Business,MIT,MBA
2847,CS,MIT,Postdoc
2848,CS,MIT,Masters
2849,CS,MIT,Bachelors
2850,Electrical Eng,MIT,PhD
2851,AI,BU,Postdoc
2852,Other,MIT,PhD
2853,Biology,MIT,Bachelors
2854,CS,Other,Bachelors
2855,Physics,MIT,Bachelors
2856,Mechanical Eng,MIT,Postdoc
2857,Mechanical Eng,MIT,Bachelors
2858,Materials,MIT,PhD
2859,Materials,MIT,PhD
2860,Data Science,Northeastern,Masters
2861,Data Science,Other,Masters
2862,Other,MIT,PhD
2863,Business,Hult Business,Masters
2864,CS,Other,PhD
2865,Business,Other,MBA
2866,AI,MIT,Bachelors
2867,AI,Other,Postdoc
2868,Other,Other,Bachelors
2869,Business,MIT,Bachelors
2870,Business,MIT,Masters
2871,Business,Other,Masters
2872,AI,MIT,PhD
2873,Business,Other,Masters
2874,Materials,MIT,PhD
2875,Business,Other,MBA
2876,Biology,MIT,PhD
2877,Biology,MIT,Bachelors
2878,CS,MIT,Bachelors
2879,AI,Northeastern,Masters
2880,Other,Northeastern,Masters
2881,Business,MIT,MBA
2882,CS,Other,Bachelors
2883,Data Science,MIT,Masters
2884,Other,MIT,Masters
2885,Other,Other,Bachelors
2886,Business,Hult Business,MBA
2887,Biology,Other,Postdoc
2888,Biology,MIT,Bachelors
2889,Other,Other,Bachelors
2890,Materials,MIT,PhD
2891,Physics,MIT,Postdoc
2892,Business,Northeastern,Masters
2893,Policital Sci,MIT,Other
2894,Biology,Other,PhD
2895,Biology,Other,PhD
2896,Mechanical Eng,MIT,Bachelors
2897,CS,Northeastern,Masters
2898,AI,MIT,Bachelors
2899,Other,Other,Postdoc
2900,Chemistry,MIT,Bachelors
2901,CS,Other,Bachelors
2902,Materials,MIT,PhD
2903,Business,Hult Business,MBA
2904,Materials,MIT,Masters
2905,Materials,MIT,PhD
2906,Other,Other,Masters
2907,Materials,MIT,Masters
2908,Other,BU,PhD
2909,Business,MIT,Bachelors
2910,Data Science,Hult Business,Masters
2911,Biology,Other,Postdoc
2912,Aero,Other,PhD
2913,Chemistry,Other,Bachelors
2914,Other,MIT,Masters
2915,Other,MIT,PhD
2916,Other,MIT,Masters
2917,Chemistry,MIT,PhD
2918,Other,MIT,PhD
2919,Electrical Eng,MIT,PhD
2920,Other,MIT,Masters
2921,Business,MIT,MBA
2922,Mechanical Eng,MIT,Bachelors
2923,CS,Northeastern,PhD
2924,Biology,Other,Postdoc
2925,Other,MIT,Masters
2926,Biology,MIT,PhD
2927,Data Science,Hult Business,Masters
2928,Other,MIT,Postdoc
2929,Other,Other,Masters
2930,Finance,Other,Bachelors
2931,Other,Other,Masters
2932,Biology,Other,Bachelors
2933,Other,MIT,Bachelors
2934,Biology,MIT,PhD
2935,Physics,MIT,PhD
2936,Biology,MIT,PhD
2937,CS,Northeastern,Masters
2938,Other,Other,Masters
2939,Materials,Tufts,Masters
2940,Data Science,BU,Masters
2941,AI,MIT,Bachelors
2942,Other,BU,PhD
2943,Business,MIT,MBA
2944,Biology,MIT,Bachelors
2945,Physics,MIT,PhD
2946,Physics,MIT,PhD
2947,Aero,MIT,PhD
2948,Law,Tufts,Bachelors
2949,Business,MIT,MBA
2950,Mechanical Eng,MIT,Bachelors
2951,Business,MIT,MBA
2952,Other,Other,Postdoc
2953,Biology,Tufts,Masters
2954,Other,Tufts,Bachelors
2955,Business,MIT,Bachelors
2956,Business,Other,Masters
2957,AI,MIT,PhD
2958,Biology,MIT,PhD
2959,Business,Tufts,Bachelors
2960,Mechanical Eng,MIT,Masters
2961,Business,MIT,MBA
2962,Chemistry,MIT,Postdoc
2963,AI,MIT,Bachelors
2964,Other,Other,Postdoc
2965,CS,MIT,Masters
2966,Other,MIT,Postdoc
2967,AI,MIT,Postdoc
2968,Data Science,MIT,PhD
2969,Business,MIT,MBA
2970,CS,Other,PhD
2971,Biology,MIT,PhD
2972,Business,MIT,Masters
2973,Business,MIT,MBA
2974,Other,MIT,Other
2975,Biology,MIT,Bachelors
2976,Biology,MIT,PhD
2977,Data Science,MIT,PhD
2978,Biology,MIT,PhD
2979,Other,MIT,PhD
2980,Other,MIT,Masters
2981,Business,MIT,Masters
2982,Business,MIT,MBA
2983,Business,MIT,Masters
2984,Business,MIT,Masters
2985,Business,MIT,Masters
2986,Chemistry,MIT,PhD
2987,Aero,MIT,Masters
2988,Other,Other,Masters
2989,Business,MIT,MBA
2990,Data Science,MIT,Masters
2991,Other,Tufts,Bachelors
2992,Business,Other,Masters
2993,Electrical Eng,MIT,PhD
2994,Business,Northeastern,Bachelors
2995,Other,Tufts,Masters
2996,Finance,Tufts,Bachelors
2997,Other,MIT,PhD
2998,Mechanical Eng,Other,Masters
2999,AI,MIT,PhD
3000,Finance,Tufts,Bachelors
3001,Other,Other,Masters
3002,Other,Other,Bachelors
3003,Chemistry,MIT,Postdoc
3004,Other,Other,PhD
3005,CS,MIT,Bachelors
3006,AI,MIT,Masters
3007,CS,MIT,Masters
3008,Other,Other,Masters
3009,Business,Northeastern,Bachelors
3010,Other,Other,Masters
3011,Mechanical Eng,MIT,Bachelors
3012,Data Science,MIT,Bachelors
3013,Mechanical Eng,MIT,Masters
3014,AI,MIT,PhD
3015,Aero,MIT,PhD
3016,Finance,Tufts,Bachelors
3017,Aero,MIT,Bachelors
3018,Other,Other,Masters
3019,AI,MIT,Masters
3020,Aero,Other,PhD
3021,CS,MIT,Masters
3022,Industrial Eng,Other,Masters
3023,CS,Other,Bachelors
3024,CS,MIT,Bachelors
3025,Civil Eng,MIT,Masters
3026,Chemistry,MIT,Masters
3027,Other,MIT,Postdoc
3028,Business,MIT,Masters
3029,AI,MIT,Bachelors
3030,AI,MIT,Masters
3031,Other,MIT,PhD
3032,CS,MIT,PhD
3033,Biology,BU,PhD
3034,Business,MIT,Masters
3035,AI,MIT,PhD
3036,Business,MIT,Masters
3037,Business,MIT,Masters
3038,Other,MIT,Masters
3039,Business,MIT,Masters
3040,Business,MIT,Masters
3041,Business,MIT,Masters
3042,Biology,Other,PhD
3043,Mechanical Eng,BU,Bachelors
3044,Other,MIT,Bachelors
3045,Chemistry,Other,Bachelors
3046,Business,Other,MBA
3047,CS,Tufts,Masters
3048,Biology,Other,Postdoc
3049,CS,Other,Bachelors
3050,Chemistry,MIT,PhD
3051,Other,Other,Postdoc
3052,Other,Other,Bachelors
3053,Mechanical Eng,MIT,Masters
3054,Other,Tufts,Masters
3055,CS,MIT,Bachelors
3056,CS,MIT,Bachelors
3057,Physics,MIT,PhD
3058,Finance,Other,Other
3059,Other,MIT,PhD
3060,Other,MIT,Masters
3061,Other,MIT,PhD
3062,Chemistry,MIT,PhD
3063,Other,MIT,PhD
3064,Other,Wellesley,Bachelors
3065,Chemistry,MIT,Bachelors
3066,CS,MIT,Bachelors
3067,AI,MIT,Bachelors
3068,Electrical Eng,MIT,PhD
3069,Business,Other,Masters
3070,AI,Northeastern,Masters
3071,Chemistry,MIT,PhD
3072,Other,BU,Masters
3073,Industrial Eng,MIT,MBA
3074,Data Science,MIT,Masters
3075,Civil Eng,Other,Postdoc
3076,CS,MIT,Postdoc
3077,Business,MIT,MBA
3078,Business,MIT,Masters
3079,Business,MIT,MBA
3080,CS,Other,Masters
3081,Other,MIT,Masters
3082,Business,MIT,MBA
3083,Biology,Northeastern,Bachelors
3084,Biology,Northeastern,Masters
3085,Other,MIT,Masters
3086,Other,MIT,Masters
3087,Other,Other,PhD
3088,CS,MIT,Bachelors
3089,AI,MIT,PhD
3090,Biology,MIT,PhD
3091,Other,MIT,PhD
3092,Aero,MIT,Masters
3093,Business,MIT,Bachelors
3094,Other,MIT,Bachelors
3095,Biology,Northeastern,Masters
3096,Other,MIT,Postdoc
3097,Other,Other,Masters
3098,CS,MIT,Bachelors
3099,CS,MIT,Bachelors
3100,CS,Northeastern,PhD
3101,CS,MIT,Bachelors
3102,Aero,MIT,PhD
3103,CS,MIT,Bachelors
3104,Business,MIT,Masters
3105,Business,MIT,Masters
3106,Business,MIT,Masters
3107,Business,MIT,Masters
3108,Business,MIT,Masters
3109,Business,MIT,MBA
3110,Business,MIT,Masters
3111,Physics,MIT,Bachelors
3112,Business,MIT,Masters
3113,Other,MIT,Bachelors
3114,Mechanical Eng,MIT,Postdoc
3115,Mechanical Eng,MIT,Bachelors
3116,Business,MIT,Bachelors
3117,Biology,MIT,PhD
3118,Chemistry,MIT,Postdoc
3119,Mechanical Eng,MIT,Bachelors
3120,CS,MIT,Bachelors
3121,CS,MIT,Bachelors
3122,CS,Other,Masters
3123,Other,Other,PhD
3124,CS,MIT,Bachelors
3125,Physics,MIT,Bachelors
3126,Finance,MIT,Masters
3127,Biology,Northeastern,Masters
3128,Business,MIT,Masters
3129,Business,MIT,Masters
3130,Business,Other,Other
3131,AI,Northeastern,Masters
3132,Other,MIT,Masters
3133,CS,MIT,Masters
3134,Biology,BU,Postdoc
3135,Biology,Other,Postdoc
3136,Mechanical Eng,MIT,PhD
3137,Business,MIT,Masters
3138,Other,MIT,Postdoc
3139,Business,MIT,PhD
3140,Business,MIT,Masters
3141,Business,MIT,Masters
3142,Chemistry,Other,Bachelors
3143,Business,Other,MBA
3144,Industrial Eng,MIT,MBA
3145,Business,Other,MBA
3146,Business,Other,MBA
3147,Business,Other,MBA
3148,Data Science,MIT,Bachelors
3149,Physics,MIT,Postdoc
3150,Other,MIT,Postdoc
3151,AI,Other,PhD
3152,Business,Hult Business,MBA
3153,Other,MIT,Masters
3154,Data Science,MIT,Bachelors
3155,CS,MIT,PhD
3156,Business,MIT,Masters
3157,CS,Northeastern,Masters
3158,Materials,MIT,PhD
3159,Business,Other,MBA
3160,Aero,MIT,PhD
3161,Other,Other,Other
3162,Business,MIT,Bachelors
3163,Industrial Eng,MIT,Masters
3164,Other,MIT,Masters
3165,Other,MIT,Masters
3166,CS,MIT,Bachelors
3167,Business,Hult Business,Masters
3168,Data Science,Other,Masters
3169,Data Science,Other,Masters
3170,Other,Other,Masters
3171,Business,Other,Masters
3172,AI,Other,Other
3173,Finance,Other,Bachelors
3174,Data Science,MIT,Masters
3175,Law,Other,PhD
3176,AI,MIT,Bachelors
3177,Business,MIT,Bachelors
3178,CS,Other,Bachelors
3179,Mechanical Eng,Tufts,Bachelors
3180,Biology,MIT,Other
3181,Mechanical Eng,Other,Other
3182,Other,MIT,PhD
3183,Biology,MIT,Bachelors
3184,Business,MIT,Bachelors
3185,Data Science,Northeastern,Masters
3186,Civil Eng,MIT,Postdoc
3187,Business,Other,MBA
3188,Finance,BU,PhD
3189,Chemistry,MIT,Masters
3190,Business,MIT,Masters
3191,Biology,MIT,PhD
3192,Materials,MIT,Bachelors
3193,Biology,Other,PhD
3194,CS,Other,Bachelors
3195,Other,MIT,Bachelors
3196,Business,Other,Masters
3197,Data Science,Hult Business,Masters
3198,CS,MIT,Bachelors
3199,Mechanical Eng,MIT,Bachelors
3200,Physics,MIT,Bachelors
3201,Biology,Other,Masters
3202,Business,Hult Business,Masters
3203,Finance,MIT,Masters
3204,Physics,MIT,PhD
3205,Mechanical Eng,MIT,MBA
3206,AI,Other,Bachelors
3207,AI,Northeastern,Bachelors
3208,Finance,Other,Bachelors
3209,Biology,Other,Postdoc
3210,Chemistry,MIT,Masters
3211,Other,MIT,Other
3212,Business,Other,Masters
3213,Other,MIT,Postdoc
3214,Business,MIT,MBA
3215,Other,MIT,Masters
3216,Electrical Eng,Other,Bachelors
3217,Mechanical Eng,MIT,Masters
3218,Other,MIT,Masters
3219,CS,NYU,Bachelors
3220,Civil Eng,MIT,Masters
3221,Business,Other,MBA
3222,Mechanical Eng,Other,Bachelors
3223,Business,Other,Bachelors
3224,CS,MIT,PhD
3225,Business,Other,Bachelors
3226,Data Science,MIT,Masters
3227,AI,MIT,Other
3228,CS,MIT,Postdoc
3229,Business,MIT,Masters
3230,Business,MIT,Masters
3231,Industrial Eng,Other,Masters
3232,AI,MIT,Masters
3233,Biology,Other,Bachelors
3234,Other,Other,PhD
3235,Materials,MIT,PhD
3236,Other,MIT,Postdoc
3237,Data Science,Hult Business,Masters
3238,CS,MIT,Bachelors
3239,Other,Northeastern,Masters
3240,Business,Hult Business,Masters
3241,Other,MIT,Bachelors
3242,CS,MIT,Bachelors
3243,AI,MIT,Bachelors
3244,Mechanical Eng,MIT,Bachelors
3245,Other,MIT,Bachelors
3246,AI,MIT,Bachelors
3247,Other,MIT,Bachelors
3248,AI,MIT,Bachelors
3249,Chemistry,MIT,Masters
3250,CS,MIT,Bachelors
3251,Business,Other,Masters
3252,Mechanical Eng,MIT,Bachelors
3253,AI,MIT,Bachelors
3254,Biology,MIT,Bachelors
3255,CS,MIT,Bachelors
3256,AI,MIT,Bachelors
3257,Biology,MIT,Bachelors
3258,CS,MIT,Bachelors
3259,Mechanical Eng,MIT,Bachelors
3260,Mechanical Eng,MIT,Bachelors
3261,CS,MIT,Bachelors
3262,Data Science,MIT,Bachelors
3263,Data Science,BU,Masters
3264,CS,MIT,Bachelors
3265,Mechanical Eng,MIT,Bachelors
3266,CS,MIT,Bachelors
3267,Materials,MIT,Bachelors
3268,Other,MIT,Bachelors
3269,AI,MIT,Bachelors
3270,CS,MIT,Bachelors
3271,Aero,MIT,PhD
3272,Aero,MIT,Bachelors
3273,Mechanical Eng,MIT,Bachelors
3274,CS,MIT,Bachelors
3275,CS,MIT,Bachelors
3276,AI,MIT,Bachelors
3277,AI,MIT,Bachelors
3278,AI,MIT,PhD
3279,AI,MIT,Bachelors
3280,CS,MIT,Bachelors
3281,AI,MIT,Bachelors
3282,Data Science,MIT,Bachelors
3283,Mechanical Eng,MIT,Bachelors
3284,Materials,MIT,Bachelors
3285,Policital Sci,MIT,Bachelors
3286,CS,MIT,Masters
3287,CS,MIT,Bachelors
3288,CS,MIT,Bachelors
3289,CS,MIT,Bachelors
3290,CS,MIT,Bachelors
3291,Electrical Eng,MIT,Bachelors
3292,CS,MIT,Bachelors
3293,Aero,MIT,Bachelors
3294,Biology,MIT,Bachelors
3295,Electrical Eng,MIT,Bachelors
3296,Biology,MIT,Bachelors
3297,Other,MIT,Bachelors
3298,AI,MIT,Bachelors
3299,Physics,MIT,Bachelors
3300,Chemistry,MIT,Bachelors
3301,Other,MIT,PhD
3302,Aero,MIT,Masters
3303,Data Science,MIT,PhD
3304,Other,MIT,Masters
3305,Business,MIT,Masters
3306,Biology,Other,PhD
3307,Biology,MIT,Bachelors
3308,Business,MIT,Masters
3309,Business,MIT,Masters
3310,Business,MIT,Masters
3311,Business,MIT,Masters
3312,Other,MIT,PhD
3313,Data Science,MIT,Bachelors
3314,Aero,MIT,Masters
3315,Other,MIT,PhD
3316,Finance,MIT,PhD
3317,Aero,MIT,Masters
3318,Data Science,MIT,Bachelors
3319,Business,MIT,PhD
3320,Aero,MIT,Postdoc
3321,AI,MIT,PhD
3322,Business,MIT,Other
3323,Aero,MIT,PhD
3324,Physics,MIT,PhD
3325,Physics,MIT,PhD
3326,Other,MIT,Other
3327,Business,Tufts,MBA
3328,Business,Other,Bachelors
3329,CS,MIT,Masters
3330,Aero,MIT,PhD
3331,Other,MIT,PhD
3332,Other,MIT,PhD
3333,Business,MIT,Masters
3334,Chemistry,MIT,Masters
3335,CS,MIT,Bachelors
3336,Mechanical Eng,MIT,Masters
3337,CS,MIT,PhD
3338,Data Science,MIT,Masters
3339,Other,BU,PhD
3340,CS,MIT,Masters
3341,Other,MIT,PhD
3342,CS,MIT,PhD
3343,Business,Other,Other
3344,Business,MIT,Postdoc
3345,Aero,MIT,PhD
3346,Other,MIT,PhD
3347,Aero,MIT,PhD
3348,Business,Other,Other
3349,Other,Other,Other
3350,Business,MIT,Other
3351,Aero,MIT,PhD
3352,Business,Other,Other
3353,Biology,Other,Other
3354,Business,MIT,Masters
3355,Aero,MIT,PhD
3356,Aero,MIT,PhD
3357,Other,MIT,PhD
3358,Other,Other,Other
3359,Other,Other,Other
