,mostRelevantField,mostRelevantUni,highestDegree
485,AI,Northeastern,Masters
486,Physics,Other,Bachelors
487,Biology,Other,Postdoc
488,Finance,Tufts,Bachelors
489,Biology,Other,Other
490,Other,Smith,Masters
491,Electrical Eng,MIT,PhD
492,Other,MIT,Postdoc
493,Other,NYU,Other
494,CS,Northeastern,Masters
495,Mechanical Eng,NYU,Bachelors
496,CS,MIT,Bachelors
497,Business,Northeastern,Bachelors
498,Physics,Other,Postdoc
499,Other,MIT,Masters
500,Biology,Northeastern,Masters
501,Other,Other,Other
502,Other,MIT,Masters
503,Biology,MIT,Bachelors
504,Finance,Other,Bachelors
505,Biology,Other,Bachelors
506,Data Science,Other,Bachelors
507,Physics,Other,Bachelors
508,CS,Northeastern,Masters
509,Other,Other,Other
510,Chemistry,MIT,PhD
511,Business,Other,Masters
512,Other,Other,Bachelors
513,Data Science,Northeastern,Masters
514,Other,Other,Bachelors
515,Biology,Northeastern,Masters
516,Other,Other,Masters
517,Biology,NYU,Other
518,Other,Northeastern,Masters
519,Business,Northeastern,Masters
520,Other,Other,Bachelors
521,CS,WPI,Masters
522,Other,Other,PhD
523,Aero,MIT,Postdoc
524,Chemistry,MIT,Postdoc
525,Chemistry,MIT,Postdoc
526,Data Science,BU,Masters
527,AI,Other,PhD
528,Other,Other,Bachelors
529,Data Science,BU,Masters
530,CS,BU,Masters
531,Materials,MIT,Postdoc
532,Other,BU,Bachelors
533,Biology,Other,Other
534,Data Science,Northeastern,Masters
535,Other,Northeastern,Masters
536,Other,MIT,PhD
537,Other,Northeastern,Masters
538,Data Science,Northeastern,Masters
539,CS,Other,Bachelors
540,Other,Other,Masters
541,Business,Northeastern,Masters
542,Business,Northeastern,Masters
543,Biology,Other,Postdoc
544,Other,Northeastern,Masters
545,CS,Tufts,Bachelors
546,Data Science,Northeastern,Masters
547,Business,BU,MBA
548,Data Science,MIT,Bachelors
549,Other,Other,Bachelors
550,Biology,Other,PhD
551,CS,MIT,Bachelors
552,Other,MIT,Masters
553,Data Science,Northeastern,Masters
554,CS,BU,Masters
555,Mechanical Eng,Other,Other
556,Physics,MIT,Postdoc
557,Other,MIT,Masters
558,CS,Northeastern,Masters
559,Business,Other,Other
560,Other,MIT,Bachelors
561,Policital Sci,Other,Bachelors
562,Finance,MIT,MBA
563,Data Science,Other,Masters
564,CS,Other,Masters
565,Business,Other,Masters
566,Business,BU,Bachelors
567,CS,Northeastern,Masters
568,Electrical Eng,Other,Masters
